Time	siga	epsa	epsc	epsv	sigc	siga*	SqJ2	I1
162.67383	0.21827699	-0.006665728	0.10535857	0.20405141	1.7889177	2.00719469	0.126022279	5.58503009
163.67383	0.22160158	-0.006977854	0.10597942	0.20498098	1.7888139	2.01041548	0.127941732	5.58804328
164.67383	0.21998529	-0.006880992	0.10681093	0.20674087	1.796144	2.01612929	0.127008566	5.60841729
165.67383	0.21390621	-0.007149307	0.1074723	0.20779529	1.7992843	2.01319051	0.123498808	5.61175911
166.67383	0.21909358	-0.007159106	0.1081387	0.20911829	1.8056741	2.02476768	0.126493737	5.63611588
167.67383	0.21478833	-0.007027791	0.10906406	0.21110035	1.8109541	2.02574243	0.1240081	5.64765063
168.67383	0.21486044	-0.007019554	0.10984474	0.21266994	1.8152132	2.03007364	0.124049733	5.66050004
169.67383	0.20899208	-0.007354776	0.11055968	0.21376458	1.8220768	2.03106888	0.120661634	5.67522248
170.67383	0.2099072	-0.007350125	0.11123831	0.2151265	1.8228645	2.0327717	0.121189978	5.6785007
171.67383	0.20888437	-0.007359611	0.11200499	0.21665035	1.8324175	2.04130187	0.120599447	5.70613687
172.67383	0.21796049	-0.007406004	0.11280055	0.2181951	1.8364741	2.05443459	0.125839548	5.72738279
173.67383	0.21208464	-0.007293114	0.11359161	0.2198901	1.8416855	2.05377014	0.122447124	5.73714114
174.67383	0.21497656	-0.007354674	0.11433002	0.22130537	1.8475916	2.06256816	0.124116775	5.75775136
175.67383	0.21790712	-0.007430509	0.1151327	0.2228349	1.8540815	2.07198862	0.125808734	5.78015162
176.67383	0.21383223	-0.007336905	0.11587414	0.22441137	1.8591012	2.07293343	0.123456096	5.79113583
177.67383	0.21382007	-0.007359756	0.11668735	0.22601494	1.8602123	2.07403237	0.123449075	5.79445697
178.67383	0.20915687	-0.007526516	0.11741188	0.22729726	1.867825	2.07698187	0.120756775	5.81263187
179.67383	0.20188667	-0.007484508	0.11816391	0.2288433	1.8725047	2.07439137	0.116559323	5.81940077
180.67383	0.21383223	-0.007671902	0.11890963	0.23014735	1.8757093	2.08954153	0.123456096	5.84096013
181.67383	0.21732442	-0.007715119	0.11972103	0.23172693	1.8815373	2.09886172	0.125472312	5.86193632
182.67383	0.20264143	-0.007814931	0.12047726	0.23313959	1.8869839	2.08962533	0.116995084	5.86359313
183.67383	0.20897709	-0.00750676	0.12122705	0.23494732	1.8903497	2.09932679	0.120652979	5.88002619
184.67383	0.20369515	-0.007774399	0.12196985	0.23616529	1.8969642	2.10065935	0.11760345	5.89458775
185.67383	0.19950509	-0.007726756	0.12274196	0.23775715	1.8997701	2.09927519	0.115184317	5.89881539
186.67383	0.20854913	-0.007913227	0.12343641	0.23895958	1.9062338	2.11478293	0.120405896	5.92725053
187.67383	0.21580645	-0.00767602	0.12417652	0.24067701	1.9087427	2.12454915	0.124595912	5.94203455
